timestamp,memory_gb,memory_percent,cpu_percent,disk_free_gb,warning
2025-09-27T14:43:52.854251,2.86,83.6,52.7,53.2,
2025-09-27T14:43:58.862468,2.82,80.9,50.5,53.2,
2025-09-27T14:44:04.873732,2.88,81.1,51.9,53.2,
2025-09-27T14:44:10.880325,2.89,81.6,58.8,53.2,
2025-09-27T14:44:16.891652,2.82,82.5,67.5,53.2,
2025-09-27T14:44:22.904051,2.81,82.2,47.7,53.0,
2025-09-27T14:44:28.909803,2.84,81.6,47.1,53.0,
2025-09-27T14:44:34.916993,2.96,81.0,54.9,53.0,
2025-09-27T14:44:40.924923,2.88,80.6,61.5,53.0,
2025-09-27T14:44:46.937155,2.85,79.8,50.0,53.0,
2025-09-27T14:44:52.943515,2.91,79.8,49.9,53.0,
2025-09-27T14:44:58.951658,2.90,79.3,50.4,53.0,
2025-09-27T14:45:04.963211,2.91,78.9,50.2,53.0,
2025-09-27T14:45:10.975871,2.91,78.6,49.9,53.0,
2025-09-27T14:45:16.984114,2.94,78.8,56.3,53.0,
2025-09-27T14:45:22.995755,2.96,78.5,69.2,53.0,
2025-09-27T14:45:29.005118,2.95,78.5,58.0,53.0,
2025-09-27T14:45:35.015378,2.82,80.3,49.5,53.0,
2025-09-27T14:45:41.022023,2.82,80.4,50.1,53.0,
2025-09-27T14:45:47.032348,2.77,80.9,46.0,52.9,
2025-09-27T14:45:53.040124,2.52,83.9,34.3,52.9,
2025-09-27T14:45:59.046377,2.54,83.8,30.9,52.9,
2025-09-27T14:46:05.055185,2.70,83.6,25.0,52.9,
2025-09-27T14:46:11.064476,2.74,81.6,22.7,52.9,
2025-09-27T14:46:17.067375,2.73,84.8,32.5,52.9,
2025-09-27T14:46:23.076013,2.76,83.9,26.0,52.9,
2025-09-27T14:46:29.087220,2.73,83.3,28.3,52.9,
2025-09-27T14:46:35.097450,2.76,82.6,8.8,52.9,
2025-09-27T14:46:41.106925,2.77,81.1,14.1,52.9,
2025-09-27T14:46:47.117971,2.71,79.4,6.2,52.9,
2025-09-27T14:46:53.126880,2.85,79.9,8.5,52.9,
2025-09-27T14:46:59.134762,2.86,79.7,5.7,52.9,
2025-09-27T14:47:05.143570,2.89,79.9,12.4,52.9,
2025-09-27T14:47:11.152333,2.91,82.7,25.8,52.9,
